[LogInfo] Page generation time: 0.21765089035034 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13753890991211 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13681983947754 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22120904922485 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14682912826538 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13757586479187 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22292804718018 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13796520233154 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14859294891357 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23513698577881 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13849186897278 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.15705800056458 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21769595146179 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.1355140209198 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21552395820618 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2332661151886 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23650312423706 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.140625 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13825106620789 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21739983558655 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22191596031189 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2189359664917 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21762204170227 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23027992248535 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21994113922119 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22099804878235 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 9.3936920166016E-5 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.00010395050048828 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 21.06653213501 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21977615356445 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.147047996521 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21824312210083 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13751578330994 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22192192077637 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21789908409119 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.00010418891906738 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.00026512145996094 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.10546088218689 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.30045819282532 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21901202201843 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23101997375488 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13538908958435 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22886514663696 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.1432249546051 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14433693885803 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14504480361938 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22403001785278 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23213005065918 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.28498482704163 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2239978313446 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.27538800239563 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22815203666687 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23595881462097 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21574687957764 seconds | Page:localhost/astracore/index.php | INFO
